,index,Date,Headline
5263,5263,2012-09-17,PM orders probe into import of sick sheep
5264,5264,2012-09-17,Imported sheep being culled after virus  bacteria infection confirmed
5265,5265,2012-09-17,Bomb blows up Dir van: 16 killed
5266,5266,2012-09-17,Prices of petrol and CNG raised
5267,5267,2012-09-17,Rs2bn package for rain-hit areas of Sindh
5268,5268,2012-09-17,Six injured as anti-film protesters try to march on US consulate
5269,5269,2012-09-18,Supreme Court reserves verdict: Questions raised over AG’s eligibility to act against Riaz
5270,5270,2012-09-19,Govt urges UN to act against hate-mongers
5271,5271,2012-09-19,Zardari mends fences with Zulfiqar Mirza
5272,5272,2012-09-19,10 killed in attack on PAF vehicle
5273,5273,2012-09-19,Part of sick sheep herd seized in raid on farm
5274,5274,2012-09-19,Political parties invited to conference
5275,5275,2012-09-19,SC rejects govt statement on Balochistan issues
5276,5276,2012-09-19,‘Murtaza’s killers will be punished’
5277,5277,2012-09-19,PM exempted from SC appearance: Swiss letter to be written  after all
5278,5278,2012-09-19,Allies wrong-footed by PPP’s U-turn
5279,5279,2012-09-19,Three MQM men among six shot dead
5280,5280,2012-09-19,Infant  six others killed: Twin blasts hit Bohra community in Karachi
5281,5281,2012-09-19,Bomb attack on bus kills three pilgrims in Mastung
5282,5282,2012-09-20,Govt urges UN to act against hate-mongers
5283,5283,2012-09-20,Zardari mends fences with Zulfiqar Mirza
5284,5284,2012-09-20,10 killed in attack on PAF vehicle
5285,5285,2012-09-20,Part of sick sheep herd seized in raid on farm
5286,5286,2012-09-20,Political parties invited to conference
5287,5287,2012-09-20,SC rejects govt statement on Balochistan issues
5288,5288,2012-09-20,‘Murtaza’s killers will be punished’
5289,5289,2012-09-20,PM exempted from SC appearance: Swiss letter to be written  after all
5290,5290,2012-09-20,Allies wrong-footed by PPP’s U-turn
5291,5291,2012-09-20,Three MQM men among six shot dead
5292,5292,2012-09-20,Infant  six others killed: Twin blasts hit Bohra community in Karachi
5293,5293,2012-09-20,Bomb attack on bus kills three pilgrims in Mastung
5294,5294,2012-09-20,Supreme Court reserves verdict: Questions raised over AG’s eligibility to act against Riaz
5295,5295,2012-09-21,Verdict on dual nationality issue: Court sends 11 legislators home
5296,5296,2012-09-21,Political parties differ on verdict
5297,5297,2012-09-21,India offers to sell locomotives
5298,5298,2012-09-21,Army called in as Islamabad protest turns violent
5299,5299,2012-09-21,US praises efforts to contain violence
5300,5300,2012-09-21,Shutdown today against hate film
5301,5301,2012-09-21,Joint appeal for peace
5302,5302,2012-09-21,SC shows AG the door in Malik Riaz contempt case
5303,5303,2012-09-21,UN team opposes new powers for spy agencies
5304,5304,2012-09-22,Peshawar violence claims six lives
5305,5305,2012-09-22,Two cops among 17 killed in Karachi
5306,5306,2012-09-22,Islamabad  Rawalpindi turned into battlefield
5307,5307,2012-09-22,Raja urges UN to make law against hate-mongers
5308,5308,2012-09-22,At least 23 die  over 200 injured on Yaum-i-Ishq-i-Rasool
5309,5309,2012-09-22,Rehman Malik strikes again
5310,5310,2012-09-23,PM House  ANP disown minister’s statement: Bilour in the soup over bounty
5311,5311,2012-09-23,Petrol and CNG prices increased
5312,5312,2012-09-23,PM visits flood-affected areas in Balochistan
5313,5313,2012-09-23,100 policemen fall ill after consuming stale food in Karachi
5314,5314,2012-09-23,President terms attack on Mardan church un-Islamic
5315,5315,2012-09-23,185 face trial for riots over hate film
5316,5316,2012-09-23,Rabbani wants NLC generals tried in civil courts
5317,5317,2012-09-23,SC seeks Malik explanation on dual nationality claim
5318,5318,2012-09-23,Three killed in US drone attack
5319,5319,2012-09-23,US Senate defeats bill to place conditions on aid
5320,5320,2012-09-24,11 other legislators in the same boat: Malik to face trial over false oath
5321,5321,2012-09-25,UN urged to address anti-Islam film: Please stop the refrain of do more: Zardari
5322,5322,2012-09-25,Judges ask Naek to revise draft of Swiss letter
5323,5323,2012-09-25,Humanity should reject hate video  says Obama
5324,5324,2012-09-25,Interim govt not before March: Kaira
5325,5325,2012-09-25,Zardari and Clinton discuss ways of bolstering relations
5326,5326,2012-09-25,Muttahida threatens to quit govt  again
5327,5327,2012-09-25,SC to get draft of Swiss letter today
5328,5328,2012-09-25,Four brothers gunned down
5329,5329,2012-09-25,Drone attack kills six in N Waziristan
5330,5330,2012-09-26,UN urged to address anti-Islam film: Please stop the refrain of do more: Zardari
5331,5331,2012-09-26,Judges ask Naek to revise draft of Swiss letter
5332,5332,2012-09-26,Humanity should reject hate video  says Obama
5333,5333,2012-09-26,Interim govt not before March: Kaira
5334,5334,2012-09-26,Zardari and Clinton discuss ways of bolstering relations
5335,5335,2012-09-26,Muttahida threatens to quit govt  again
5336,5336,2012-09-26,SC to get draft of Swiss letter today
5337,5337,2012-09-26,Four brothers gunned down
5338,5338,2012-09-26,Drone attack kills six in N Waziristan
5339,5339,2012-09-26,11 other legislators in the same boat: Malik to face trial over false oath
5340,5340,2012-09-27,‘Enforced disappearances cause of unrest’: Mengal submits six-point plan on Balochistan
5341,5341,2012-09-27,Voting plan for expatriates opposed
5342,5342,2012-09-27,Quadrilateral summit put off: Russian president cancels visit
5343,5343,2012-09-27,SC registrar asks police to probe Abidi’s outbursts
5344,5344,2012-09-27,Pakistan endorses drones  rejects method: Khar
5345,5345,2012-09-27,‘Halt Nato supplies’ mantra revived
5346,5346,2012-09-27,Official killed in Quetta sectarian attack
5347,5347,2012-09-27,Swiss letter: the sticking points
5348,5348,2012-09-27,Talks on Afghanistan rekindle peace hopes
5349,5349,2012-09-27,Contempt proceedings to begin after Oct 5  warn judges
5350,5350,2012-09-28,Former Balochistan CM meets Nawaz: Mengal likens his six points to those of Mujib
5351,5351,2012-09-28,Khar tables statement against US hate film at OIC meeting
5352,5352,2012-09-28,Senate body’s rare foray into military matters
5353,5353,2012-09-28,Putin visit put off due to lack of progress on economic issues
5354,5354,2012-09-28,No death squads in Balochistan  govt tells SC
5355,5355,2012-09-28,CJ blames intolerance for acts of terrorism
5356,5356,2012-09-29,Five metropolitan corporations notified: Karachi reverts to Musharraf-era police order
5357,5357,2012-09-30,PML-Q to side with majority on Sindh local govt bill
5358,5358,2012-09-30,Failure to hold fair polls will spark strong reaction: Nawaz
5359,5359,2012-09-30,Scathing reviews as Mengal wraps up visit
5360,5360,2012-09-30,Date for filing tax returns extended
5361,5361,2012-09-30,Two jail officials shot dead
5362,5362,2012-09-30,PTI losing ground amid PML-N surge: IRI survey
5363,5363,2012-09-30,Mengal mocks Malik’s claim of foreign involvement in Balochistan
5364,5364,2012-09-30,Nine babies die at Larkana hospital
5365,5365,2012-09-30,Letters sent to legislatures: EC seeks fresh affidavits on nationality
5366,5366,2012-10-01,Prices of petrol  CNG reduced by over 5pc
5367,5367,2012-10-02,NA secretariat not to collect affidavits
5368,5368,2012-10-02,Adviser warns of gas shortage
5369,5369,2012-10-02,Well done Pakistan  thank you South Africa!
5370,5370,2012-10-02,PML-N to support Baloch parties if they contest polls
5371,5371,2012-10-02,Remains of Turkish ex-president exhumed
5372,5372,2012-10-02,Plea to stop Riaz-Arsalan case probe rejected
5373,5373,2012-10-02,NP to contest elections  says Malik Baloch
5374,5374,2012-10-02,Russian FM due tomorrow on 2-day visit
5375,5375,2012-10-02,Zardari  Altaf discuss electoral alliance
5376,5376,2012-10-02,New local bodies law polarises Sindh
5377,5377,2012-10-02,PTI denied permission for S. Waziristan rally
5378,5378,2012-10-03,KSE hits record high
5379,5379,2012-10-03,Nadra’s disclosure: Over 2m rich pay no taxes
5380,5380,2012-10-04,Presidency made party in ISI case
5381,5381,2012-10-04,Russia backs Pakistan’s stance on drone strikes
5382,5382,2012-10-04,Govt makes changes in draft of Swiss letter: Kaira
5383,5383,2012-10-04,Lanka edge out Pakistan
5384,5384,2012-10-04,PM orders assessment of global reaction to tax amnesty plan
5385,5385,2012-10-04,Shahbaz summoned on issue of nationality
5386,5386,2012-10-04,Dual nationality issue: Govt plans to move bill in NA
5387,5387,2012-10-04,BD-model govt running country  says Gilani
5388,5388,2012-10-04,Kayani sets guidelines on Balochistan issue
5389,5389,2012-10-04,Russian FM arrives as COAS flies to Moscow
5390,5390,2012-10-04,Raja briefs Zardari on political situation
5391,5391,2012-10-04,Govt decides to rely on Thar coal for power generation
5392,5392,2012-10-05,Presidency made party in ISI case
5393,5393,2012-10-05,Russia backs Pakistan’s stance on drone strikes
5394,5394,2012-10-05,Govt makes changes in draft of Swiss letter: Kaira
5395,5395,2012-10-05,Lanka edge out Pakistan
5396,5396,2012-10-05,PM orders assessment of global reaction to tax amnesty plan
5397,5397,2012-10-05,Shahbaz summoned on issue of nationality
5398,5398,2012-10-05,Dual nationality issue: Govt plans to move bill in NA
5399,5399,2012-10-05,BD-model govt running country  says Gilani
5400,5400,2012-10-05,Kayani sets guidelines on Balochistan issue
5401,5401,2012-10-05,Russian FM arrives as COAS flies to Moscow
5402,5402,2012-10-05,Raja briefs Zardari on political situation
5403,5403,2012-10-05,Govt decides to rely on Thar coal for power generation
5404,5404,2012-10-05,KSE hits record high
5405,5405,2012-10-05,Nadra’s disclosure: Over 2m rich pay no taxes
5406,5406,2012-10-06,Accountability  investigation for fair trial: Bills to come before NA next week
5407,5407,2012-10-06,Imran march goes ahead despite hurdles
5408,5408,2012-10-06,Merger of co-op society with Bahria Town: No action taken after inquiry
5409,5409,2012-10-06,EC wants sessions judges as ROs
5410,5410,2012-10-06,5 volunteers killed in clash
5411,5411,2012-10-06,Son’s arrest disillusions Gilani with government
5412,5412,2012-10-06,SBP slashes interest rate to 10pc
5413,5413,2012-10-06,Impasse over Swiss letter not over yet
5414,5414,2012-10-06,March takes off from Islamabad today
5415,5415,2012-10-06,Balochistan fireworks open NA autumn session
5416,5416,2012-10-06,PTI march: Is peace real objective of Imran Khan?
5417,5417,2012-10-06,Windies thrash Australia
5418,5418,2012-10-07,Seven die in attack on PPP meeting
5419,5419,2012-10-07,Imran threatens march on Islamabad: PTI rally stopped at gates of South Waziristan
5420,5420,2012-10-07,West Indies stun Lanka to win T20 crown
5421,5421,2012-10-07,US waives restrictions to allow $2bn aid
5422,5422,2012-10-08,Suddle summons Arsalan to record his statement
5423,5423,2012-10-08,PPP declares day of mourning
5424,5424,2012-10-08,Prices of petrol  CNG raised again
5425,5425,2012-10-09,14-year-old activist shot and critically wounded
5426,5426,2012-10-09,Police told to ensure doctors’ safety
5427,5427,2012-10-09,Govt challenges court’s formula for Swiss letter
5428,5428,2012-10-09,Silent alarm over mysterious deaths
5429,5429,2012-10-09,Drafts referred to NA committee: Accountability  investigation bills introduced
5430,5430,2012-10-09,Tackle Balochistan issue in earnest  CJ asks govt
5431,5431,2012-10-09,Many leading Pakistani cricketers don’t file tax returns
5432,5432,2012-10-09,Loadshedding of CNG likely to be increased
5433,5433,2012-10-09,Doctor shot dead in Khuzdar
5434,5434,2012-10-10,14-year-old activist shot and critically wounded
5435,5435,2012-10-10,Police told to ensure doctors’ safety
5436,5436,2012-10-10,Govt challenges court’s formula for Swiss letter
5437,5437,2012-10-10,Silent alarm over mysterious deaths
5438,5438,2012-10-10,Drafts referred to NA committee: Accountability  investigation bills introduced
5439,5439,2012-10-10,Tackle Balochistan issue in earnest  CJ asks govt
5440,5440,2012-10-10,Many leading Pakistani cricketers don’t file tax returns
5441,5441,2012-10-10,Loadshedding of CNG likely to be increased
5442,5442,2012-10-10,Doctor shot dead in Khuzdar
5443,5443,2012-10-10,Suddle summons Arsalan to record his statement
5444,5444,2012-10-10,PPP declares day of mourning
5445,5445,2012-10-10,Prices of petrol  CNG raised again
5446,5446,2012-10-11,Military ‘ready for any sacrifice to eliminate terror’
5447,5447,2012-10-11,SC orders production of jirga members  Wani girls
5448,5448,2012-10-11,All eyes on Armed Forces Institute of Cardiology: Malala airlifted to Rawalpindi; still unconscious
5449,5449,2012-10-11,18 militants killed in Orakzai drone attack
5450,5450,2012-10-11,14 killed in Sibi  Dera Bugti blasts
5451,5451,2012-10-11,The Fata-ification of Khyber Pakhtunkhwa
5452,5452,2012-10-11,Malala surgery successful
5453,5453,2012-10-11,NA committee approves 10 clauses of draft law
5454,5454,2012-10-11,NRO case: SC approves draft presented by Naek  review petition withdrawn
5455,5455,2012-10-11,An unscripted event reveals divisions within ANP
5456,5456,2012-10-12,Plan to spend all of PSDP allocation before polls
5457,5457,2012-10-12,SC says govt has failed in Balochistan
5458,5458,2012-10-12,Nation to protect Malala’s Pakistan  says Raja
5459,5459,2012-10-12,48 hours critical for Malala
5460,5460,2012-10-12,Electoral pie likely to be carved into many slices
5461,5461,2012-10-13,Blast leaves 16 dead in Darra Adamkhel
5462,5462,2012-10-13,Jirga orders handover of two girls as Wani
5463,5463,2012-10-13,Zardari’s choice for China post irks FO
5464,5464,2012-10-13,NWA operation needs political decision: ISPR
5465,5465,2012-10-13,Malala’s condition improving
5466,5466,2012-10-13,Senate panel to take up nationality bill tomorrow
5467,5467,2012-10-13,Malala Yousufzai attack: 120 suspects arrested
5468,5468,2012-10-14,MQM holds meetings to express solidarity with Malala: Altaf pledges support to army if it acts to wipe out terrorists
5469,5469,2012-10-14,Ventilator taken off briefly: Malala’s condition improving  says ISPR
5470,5470,2012-10-15,PML-N to oppose 22nd amendment bill
5471,5471,2012-10-15,Bombing of seminaries should also be condemned  says Fazl
5472,5472,2012-10-15,Two brothers killed in sectarian attack
5473,5473,2012-10-15,PPP almost seals poll alliance with PML-Q
5474,5474,2012-10-16,N. Waziristan operation put on hold again?
5475,5475,2012-10-16,Malala can recover  say UK doctors
5476,5476,2012-10-16,Commission on Arsalan case seeks more time
5477,5477,2012-10-16,Dual nationality ghost blocks drug bill
5478,5478,2012-10-16,PPP holds big rally in support of LB law
5479,5479,2012-10-17,ISI funding case: President must be above politics: CJ
5480,5480,2012-10-17,Shahbaz’s son-in-law courts arrest
5481,5481,2012-10-17,Allies lend conditional support: Drug authority bill sails through Senate
5482,5482,2012-10-17,Biggest-ever voter verification exercise
5483,5483,2012-10-17,Malik for talks with two Baloch leaders
5484,5484,2012-10-17,Nisar asks govt to arrest Malala attack mastermind
5485,5485,2012-10-17,Moon sighted  Eid on 27th
5486,5486,2012-10-17,PML-N aborts anti-militants call in NA
5487,5487,2012-10-17,Pakistan  Iran vow to jointly pursue major projects
5488,5488,2012-10-17,Vaccinator killed in Quetta attack
5489,5489,2012-10-17,Malala will need reconstructive surgery: hospital director
5490,5490,2012-10-18,ISI funding case: President must be above politics: CJ
5491,5491,2012-10-18,Shahbaz’s son-in-law courts arrest
5492,5492,2012-10-18,Allies lend conditional support: Drug authority bill sails through Senate
5493,5493,2012-10-18,Biggest-ever voter verification exercise
5494,5494,2012-10-18,Malik for talks with two Baloch leaders
5495,5495,2012-10-18,Nisar asks govt to arrest Malala attack mastermind
5496,5496,2012-10-18,Moon sighted  Eid on 27th
5497,5497,2012-10-18,PML-N aborts anti-militants call in NA
5498,5498,2012-10-18,Pakistan  Iran vow to jointly pursue major projects
5499,5499,2012-10-18,Vaccinator killed in Quetta attack
5500,5500,2012-10-18,Malala will need reconstructive surgery: hospital director
5501,5501,2012-10-18,N. Waziristan operation put on hold again?
5502,5502,2012-10-18,Malala can recover  say UK doctors
5503,5503,2012-10-18,Commission on Arsalan case seeks more time
5504,5504,2012-10-18,Dual nationality ghost blocks drug bill
5505,5505,2012-10-18,PPP holds big rally in support of LB law
5506,5506,2012-10-19,Beg  Durrani face legal action
5507,5507,2012-10-19,Three FC men killed in Quetta
5508,5508,2012-10-19,Rigging culprits will be brought to book  says Raja
5509,5509,2012-10-19,Implications of apex court’s verdict for Presidency
5510,5510,2012-10-19,Malala back on her feet
5511,5511,2012-10-19,Pakistan behind Nepal  India in girls’ education
5512,5512,2012-10-19,Pakistan and Serbia to sign MoU on defence
5513,5513,2012-10-19,NAB takes up payment of over Rs800m to Raisanis
5514,5514,2012-10-19,Shahbaz’s son-in-law sent to jail on judicial remand
5515,5515,2012-10-19,Five parties revive MMA  leave out Jamaat-i-Islami  JUI-Sami
5516,5516,2012-10-19,Raja calls for respect of all institutions
5517,5517,2012-10-19,Asghar Khan petition hearing: Beg: I did not take oath on ’73 Constitution
5518,5518,2012-10-20,Implementation of SC order: Probe may end before interim set-up: Kaira
5519,5519,2012-10-20,70 000 in attempt to set record for anthem
5520,5520,2012-10-20,Legal hitch likely to delay Malik’s disqualification
5521,5521,2012-10-20,US not pushing for operation: Grossman
5522,5522,2012-10-20,Grossman holds talks with Khar  Kayani
5523,5523,2012-10-21,PML-N rejects investigation by FIA
5524,5524,2012-10-21,Pakistan asks Afghanistan to hand over Fazlullah
5525,5525,2012-10-21,Operation without national accord to backfire: Zardari
5526,5526,2012-10-21,SC verdict didn’t address real issues: experts
5527,5527,2012-10-21,Millions spent to divide vote bank in ’93: PML-N
5528,5528,2012-10-22,‘Onus of reviving peace talks on Kabul’
5529,5529,2012-10-22,World’s largest flag record set in Lahore
5530,5530,2012-10-22,Prices of petrol and CNG reduced
5531,5531,2012-10-23,Third and final presidential debate: Romney soft  Obama tough on Pakistan
5532,5532,2012-10-23,PPP rejects demand for independent commission
5533,5533,2012-10-23,Pak-Afghan strategic accord likely next year
5534,5534,2012-10-23,Vested interests scuttled crucial medical project
5535,5535,2012-10-23,Wattoo vows to wrest Punjab from PML-N
5536,5536,2012-10-23,CEC unhappy over SC verdict’s timing
5537,5537,2012-10-23,GIK’s grandson regrets delay in justice
5538,5538,2012-10-23,Abbottabad Commission clears govt  military: UK paper
5539,5539,2012-10-23,EC can’t act against ISI funds recipients
5540,5540,2012-10-24,Ogra under fire for price spiral: CNG-dollar link strange  SC tells govt
5541,5541,2012-10-25,CNG price slashed by Rs30 per kg
5542,5542,2012-10-25,Haj sermon lays stress on peace  brotherhood
5543,5543,2012-10-25,Father and brothers of Malala go to Birmingham
5544,5544,2012-10-25,Price reduced for four days
5545,5545,2012-10-25,Drones: PHC puts Gen Musharraf on notice
5546,5546,2012-10-25,Durand Line is border  says US
5547,5547,2012-10-25,Police told to act against illegal sale of SIMs
5548,5548,2012-10-25,Haj gets under way
5549,5549,2012-10-25,Five killed in fresh attack
5550,5550,2012-10-26,Many outlets closed: CNG stations warned against overcharging
5551,5551,2012-10-26,Eidul Azha starts in S. Arabia
5552,5552,2012-10-26,Announcement
5553,5553,2012-10-26,Malala will rise again  says father
5554,5554,2012-10-26,Four-hour cellphone shutdown today
5555,5555,2012-10-26,TV celebrities under-declare assets  file no tax returns
5556,5556,2012-10-26,SHC stops govt from suspending cellphone service
5557,5557,2012-10-26,Nawaz says his party accepts FIA probe
5558,5558,2012-10-27,Many outlets closed: CNG stations warned against overcharging
5559,5559,2012-10-27,Eidul Azha starts in S. Arabia
5560,5560,2012-10-27,Announcement
5561,5561,2012-10-27,Malala will rise again  says father
5562,5562,2012-10-27,Four-hour cellphone shutdown today
5563,5563,2012-10-27,TV celebrities under-declare assets  file no tax returns
5564,5564,2012-10-27,SHC stops govt from suspending cellphone service
5565,5565,2012-10-27,Nawaz says his party accepts FIA probe
5566,5566,2012-10-27,CNG price slashed by Rs30 per kg
5567,5567,2012-10-27,Haj sermon lays stress on peace  brotherhood
5568,5568,2012-10-27,Father and brothers of Malala go to Birmingham
5569,5569,2012-10-27,Price reduced for four days
5570,5570,2012-10-27,Drones: PHC puts Gen Musharraf on notice
5571,5571,2012-10-27,Durand Line is border  says US
5572,5572,2012-10-27,Police told to act against illegal sale of SIMs
5573,5573,2012-10-27,Haj gets under way
5574,5574,2012-10-27,Five killed in fresh attack
5575,5575,2012-10-28,Many outlets closed: CNG stations warned against overcharging
5576,5576,2012-10-28,Eidul Azha starts in S. Arabia
5577,5577,2012-10-28,Announcement
5578,5578,2012-10-28,Malala will rise again  says father
5579,5579,2012-10-28,Four-hour cellphone shutdown today
5580,5580,2012-10-28,TV celebrities under-declare assets  file no tax returns
5581,5581,2012-10-28,SHC stops govt from suspending cellphone service
5582,5582,2012-10-28,Nawaz says his party accepts FIA probe
5583,5583,2012-10-29,Monster storm lashes US East Coast
5584,5584,2012-10-29,The forgotten pledge
5585,5585,2012-10-29,Hizbut Tahrir made three attempts to penetrate army
5586,5586,2012-10-29,British  UAE ministers visit Malala at hospital
5587,5587,2012-10-30,18 militants killed in Khyber  Orakzai
5588,5588,2012-10-31,EC code of conduct not a mere show-piece  politicians warned
5589,5589,2012-10-31,• Parts of Manhattan plunge into darkness • Transport system paralysed • 80 homes gutted: NY  New Jersey smothered by storm; 38 dead
5590,5590,2012-10-31,RPP case: Turkish firm pays Rs1.6bn  allowed to leave
5591,5591,2012-10-31,Pak cricket team to tour India
5592,5592,2012-10-31,CNG price effective till SC decision: Ogra
5593,5593,2012-10-31,Presidency to shun political activity  at least officially
5594,5594,2012-10-31,24 die in Bahawalpurwagon-truck collision
5595,5595,2012-10-31,Commission to finalise poll arrangements by Dec 31
5596,5596,2012-10-31,Khar paints rosy picture of human rights in Pakistan
5597,5597,2012-11-01,Balochistan govt in tumult as Raisani faces revolt
5598,5598,2012-11-01,Entire govt responsible for power crisis: Shaikh
5599,5599,2012-11-01,SC freezes CNG prices till 19th
5600,5600,2012-11-01,Kaira urges judiciary to exercise restraint
5601,5601,2012-11-01,Ex-generals appear before NAB probe team
5602,5602,2012-11-01,PML-N challenges Altaf’s credentials
5603,5603,2012-11-01,Cabinet briefed on economic situation: Shaikh criticised by ministers over price hike
5604,5604,2012-11-01,SC questions constitutional authority of Balochistan government
5605,5605,2012-11-01,Ogra works out new CNG pricing formula
5606,5606,2012-11-02,SC ruling on Balochistan flawed: govt
5607,5607,2012-11-02,PPP  PML-Q to revisit election accord
5608,5608,2012-11-02,New pricing formula suggested for CNG retailers
5609,5609,2012-11-02,18 die in fire caused by gun attack on bus
5610,5610,2012-11-02,Notices issued to over 20 cricketers for tax evasion
5611,5611,2012-11-03,Provincial govt has ‘lost moral authority’
5612,5612,2012-11-03,Police powers for FC in Quetta extended
5613,5613,2012-11-03,Obama  Romney at their last gasp for votes
5614,5614,2012-11-04,Parliament still under attack  says Zardari
5615,5615,2012-11-04,Three shot dead in Hyderabad
5616,5616,2012-11-04,PML-N wants polls held immediately
5617,5617,2012-11-04,MQM to hold referendum on 8th  despite Taliban threat
5618,5618,2012-11-04,Dual office threat
5619,5619,2012-11-04,PPP maintains uncanny silence over Raisani’s fate
5620,5620,2012-11-04,SC asks Sindh govt to tackle Taliban influx
5621,5621,2012-11-04,Blast kills anti-Taliban lashkar chief  5 others
5622,5622,2012-11-05,Parliament still under attack  says Zardari
5623,5623,2012-11-05,Three shot dead in Hyderabad
5624,5624,2012-11-05,PML-N wants polls held immediately
5625,5625,2012-11-05,MQM to hold referendum on 8th  despite Taliban threat
5626,5626,2012-11-05,Dual office threat
5627,5627,2012-11-05,PPP maintains uncanny silence over Raisani’s fate
5628,5628,2012-11-05,SC asks Sindh govt to tackle Taliban influx
5629,5629,2012-11-05,Blast kills anti-Taliban lashkar chief  5 others
5630,5630,2012-11-05,Provincial govt has ‘lost moral authority’
5631,5631,2012-11-05,Police powers for FC in Quetta extended
5632,5632,2012-11-05,Obama  Romney at their last gasp for votes
5633,5633,2012-11-06,CJ renews stance — SC is ultimate protector of Constitution
5634,5634,2012-11-06,Kayani hits back — apparent reaction to bashing of generals
5635,5635,2012-11-06,PPP and PML-N prefer to play it safe  for now
5636,5636,2012-11-07,Turnout heavy in closest US election in years
5637,5637,2012-11-07,May 2 Abbottabad raid: SC to examine media clips  ISPR releases
5638,5638,2012-11-07,3 Hazaras shot dead in Quetta
5639,5639,2012-11-07,Govt encouraged by talk of constitution’s supremacy
5640,5640,2012-11-08,Letter sent at last to Swiss authorities
5641,5641,2012-11-08,Iran’s VP cancels Pakistan visit
5642,5642,2012-11-08,Obama gets four more years  but faces hostile House
5643,5643,2012-11-08,LNG import agreement signed with Qatar
5644,5644,2012-11-08,Nawaz sees hope in CJ  COAS statements
5645,5645,2012-11-09,Primary literacy plan launched for 3m poor children
5646,5646,2012-11-09,Obama and Republicans on warpath
5647,5647,2012-11-09,CIA chief Petraeus quits for ‘personal reasons’
5648,5648,2012-11-09,Masood Khalid named envoy to China
5649,5649,2012-11-09,Petition urges Peace Nobel for Malala
5650,5650,2012-11-09,Let bygones be bygones  urges PM
5651,5651,2012-11-09,Steel Mills debt liability exceeds Rs82bn
5652,5652,2012-11-09,Ban imposed on cellphone number portability
5653,5653,2012-11-09,Detailed judgment in Asghar Khan case issued
5654,5654,2012-11-09,Court trying to assume powers of 58(2b): govt
5655,5655,2012-11-09,Taliban attack on Rangers leaves 3 dead in Karachi
5656,5656,2012-11-09,Police to help power firms recover dues
5657,5657,2012-11-09,Announcement
5658,5658,2012-11-10,Primary literacy plan launched for 3m poor children
5659,5659,2012-11-10,Obama and Republicans on warpath
5660,5660,2012-11-10,CIA chief Petraeus quits for ‘personal reasons’
5661,5661,2012-11-10,Masood Khalid named envoy to China
5662,5662,2012-11-10,Petition urges Peace Nobel for Malala
5663,5663,2012-11-10,Let bygones be bygones  urges PM
5664,5664,2012-11-10,Steel Mills debt liability exceeds Rs82bn
5665,5665,2012-11-10,Ban imposed on cellphone number portability
5666,5666,2012-11-10,Detailed judgment in Asghar Khan case issued
5667,5667,2012-11-10,Court trying to assume powers of 58(2b): govt
5668,5668,2012-11-10,Taliban attack on Rangers leaves 3 dead in Karachi
5669,5669,2012-11-10,Police to help power firms recover dues
5670,5670,2012-11-10,Announcement
5671,5671,2012-11-10,Letter sent at last to Swiss authorities
5672,5672,2012-11-10,Iran’s VP cancels Pakistan visit
5673,5673,2012-11-10,Obama gets four more years  but faces hostile House
5674,5674,2012-11-10,LNG import agreement signed with Qatar
5675,5675,2012-11-10,Nawaz sees hope in CJ  COAS statements
5676,5676,2012-11-11,Democracy is here to stay: CJ
5677,5677,2012-11-11,Brown calls Malala’s injured friends
5678,5678,2012-11-11,Three shot dead in Quetta
5679,5679,2012-11-11,ICAO dissatisfied with Airblue crash report
5680,5680,2012-11-11,‘Mumbai case suspects trained at LeT camps’
5681,5681,2012-11-11,Another 20 gunned down in Karachi
5682,5682,2012-11-12,ECP to decide fate of over 200 lawmakers today
5683,5683,2012-11-12,Govt in a fix on ISI-IJI funding probe
5684,5684,2012-11-12,Bloodbath in Karachi continues; 11 killed
5685,5685,2012-11-12,Nawaz for stringent measures against culprits
5686,5686,2012-11-12,NA’s winter session could turn hot
5687,5687,2012-11-13,Raisani strikes back  wins assembly trust
5688,5688,2012-11-13,Zardari calls for war against heroin
5689,5689,2012-11-13,Pakistan agrees to set free Taliban leaders
5690,5690,2012-11-13,NA adopts bill on free school education
5691,5691,2012-11-13,Allies lash out at govt over Karachi bloodbath
5692,5692,2012-11-13,Govt assailed over violence in Karachi
5693,5693,2012-11-13,PM assures Afghans of cooperation for peace
5694,5694,2012-11-13,Balochistan crisis worsens as Bhootani strikes again
5695,5695,2012-11-13,Acting speaker convenes session
5696,5696,2012-11-13,SC wants Army Act amended
5697,5697,2012-11-13,Opposition near consensus on caretaker PM: Nisar
5698,5698,2012-11-14,President promises smooth transition
5699,5699,2012-11-14,Fireworks in cabinet over Karachi killings
5700,5700,2012-11-14,Balochistan PPP MPAs summoned by Raja
5701,5701,2012-11-14,PPP  allies outraged by FIA notices to Gilanis
5702,5702,2012-11-15,10 mid-ranking Taliban freed: Progress in talks with Afghan peace council
5703,5703,2012-11-16,Zardari acts to regain trust of estranged Gilani
5704,5704,2012-11-16,Judge says court can’t take up case concerning armymen
5705,5705,2012-11-16,Malik bemoans bike ruling  to no avail
5706,5706,2012-11-16,Cellphones silenced for 8 hours in Karachi  Quetta
5707,5707,2012-11-16,Reko Diq: SC cautions govt
5708,5708,2012-11-16,Balochistan seeks Rs2.7bn for flood-hit people
5709,5709,2012-11-16,Pakistan didn’t know whereabouts of Osama: US
5710,5710,2012-11-16,Malik decrees  court disagrees; Quetta to observe restriction
