Date,Combined_News
2019-01-28,"Govt to help furniture-makers capture world markets,UK retailer Tesco restructuring threatens 9,000 jobs,Market watch: KSE-100 advances despite lower volumes,Oil falls as US firms add rigs, still set for best January in 14 years,Govt to facilitate investors, bolster exports: Asad Umar,Govt should set target of 50% reduction in T&D losses,Rotterdam links up with hybrid BMW owners to cut pollution,IGI launches IGI Life Vitality to help people become healthier,Lack of access to banking facilities exacerbates economic woes,Govt must close political fronts, focus on economy,Pakistan?s tourism - huge untapped potential and way forward, Has allowed duty-free import of raw material to manufacturers,The retailer employs around 300,000 workers in Britain,Benchmark index increases 155.31 points to settle at 40,420.09,US crude production has undermined sentiment in market,Government undertaking measures to resolve the power issues faced by the industrialists, says finance minister,High-profile loss reduction activity backed by a strategy and action plan is a must,Launches Electric City Drive project to cut greenhouse gas emissions,Programme provides participants with tools to improve their health using a digital app,If depositor base is widened, it will foster economic growth, provide business and job opportunities,Opening of political fronts has complicated economic challenges,Travel and tourism contributed $7.6 billion to Pakistan?s economy in 2016"
2019-01-29,"Govt to borrow Rs400b from banking consortium,Chinese automaker to export electric pickups to US,Market watch: KSE-100 continues to gain momentum, rises over 200 points,Philips shifting millions of euros worth of production due to trade war,Oil gains as US imposes sanctions on Venezuela, global supplies weigh,Dollar trapped in ranges on trade war concerns, Fed,FTA with US, India difficult at the moment: Dawood,Corporate corner: DIB Pakistan issues Rs3.12b Sukuk,Inter-bank market: Rupee strengthens against dollarÿÿ,Profit, dividend repatriation drops 37% on economic slowdown,Pakistan and Spain have great potential to boost trade volume,Foreign investors keen to invest in fishing industry,Privatisation of state units to take eight years,Foreign loan disbursements drop to $2.2b in first half of FY19,No relief: Despite two finance bills, Pakistan's fiscal miseries to persist,Govt seeks details of payment to lobbyists, lawyers abroad, Loan to be used to pay off circular debt, provinces' net hydel profit,Pickman trucks will be sold at $5,000 in US and $5,700 in Europe,Benchmark index increases 0.51% to settle at 40,624.39,Predicts increased tariffs will cut around 60m euros from core profits this year,US has been the biggest buyer of Venezuelan oil despite their political differences,Market participants focused on the Federal Reserve's policy meeting on January 29-30,PM adviser will meet British Airways? delegation for finalising flight detail,DIB was established in 1975 as the world?s first Islamic Bank in UAE,Rupee has lost 31.8% of its value in the last 13 months.,Foreign companies in Pakistan sent home $759.5m compared to $1.2b in previous year,Spanish envoy assures full cooperation in promoting ties,Interest develops due to business-friendly policies of the government,Asad Umar vows to club taxes in next federal budget,Finance minister calls for developing mechanism for fast-track implementation of foreign-funded projects,Budget deficit to go above 6% of GDP by the end of current fiscal year,Cabinet receives briefing from interior ministry on investigations in UK"
2019-01-30,"OGRA recommends reduction of Rs4 in diesel price,US, China face deep trade, IP differences in high-level talks,Market watch: KSE-100 falls slightly ahead of monetary policy,Oil prices rise 1% on Venezuela sanctions,Govt expects circular debt to level off this year,Faysal Bank to convert into full-fledged Islamic banking institution,'Implementation of reforms key challenge for PTI govt',Corporate Corner: Uzbek team visits textile universityÿ,Inter-Bank Market: Rupee stable against dollar,Pakistan-Uzbekistan trade rises threefold,Govt sees $6b reduction in trade deficit in FY19,FBR introduces new registration process for mobile phones,SBP expects slowdown in economic growth to 4-4.5%,Finance, planning ministries oppose interest rate hike,PM?s aide meets British Airways team to finalise Pakistan operations pact, For petrol, it proposes decrease of just Rs0.50 per litre,Trump has threatened to raise tariffs on $200b worth of goods on March 2,Benchmark index decreases 17.27 points to settle at 40,607.12,US has imposed export sanctions on state-owned oil producer in Venezuela,Power minister says country will need to double generation capacity to 55,000MW by 2030,This partnership will not only benefit us, but the entire Islamic finance industry as well,DFID Chief Economist Rachel Glennerster says Pakistan needs to prioritise its to-do list,NTU and Tashkent Textile Institute will collaborate and sign an MoU for further cooperation in the field of textile,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,Envoy reveals direct Karachi-Tashkent flights will start soon,PM aide expects exports to reach record high of $27b,Overseas Pakistanis can bring one cellphone without paying duties,State Bank of Pakistan says 6.2% GDP growth target seems unachievable,Rate increase will push govt?s borrowing cost up from the projected Rs2 trillion,Abdul Razzak Dawood says airline resumes flights owing to improved security situation"
2019-01-31,"Pakistan's debt capacity weakening, NA told,Fuel prices marginally reduced,Foreign exchange: SBP reserves surge 22.9%, cross $8b mark,Market watch: KSE-100 rises ahead of SBP?s interest rate announcement,Oil prices extend rise on signs of tighter supply,European powers launch mechanism for trade with Iran,Govt issues dollar bonds for expats,As core inflation stays high, SBP hikes interest rate,New Islamabad airport: PAC to grill FIA over dubious clean chit in contract case,Senate panel: Regularisation of daily-wage workers deferred,Bank AL Habib declares pre-tax profit of Rs14.26bÿ,?Five-year plan must include clean energy solutions?,Pakistan Refinery?s losses soar 13 times to Rs2.46b,Port Qasim to start night navigation from February,Atlas Honda earnings dip 51% on lower margins,Govt plans to set up IT regulatory authority to tap youth potential,Amended FTA with China to be finalised in mid-Feb,PM Imran orders crackdown as corrupt FBR official promoted,British Airways to begin operations in Pakistan from June,?Govt to provide time-based subsidy to engineering sector?, In last fiscal year, external debt increased at a more rapid pace than foreign exchange earnings,Diesel rates kept unchanged despite oil prices falling in international market,Increase comes due to inflows from the UAE and Saudi Arabia,Benchmark index increases 192.41 points to settle at 40,799.53,Still, concerns over outcome of US-China trade talks have jangled investors' nerves,Diplomats, however, say it is unlikely to lead to big commercial deals,PM Imran launches three-year, five-year Pakistan Banao Certificates,Central bank raises rate by 25bps to 10.25%, cuts economic growth forecast to 4%,Also raises objection to the lax fiscal controls exercised by the Finance Ministry,Education panel told new policy expected over the next three months,Profit after tax for the year was recorded at Rs8.42 billion against Rs8.50 billion last year,Secretary says challenge is to achieve clean energy mix with more dividends,Higher cost of sales, low sales revenue and rupee depreciation caused the plunge,New system will help vessels sail to terminals during night hours,Bike-maker earns Rs572 million in Oct-Dec quarter,It will assess IT education benchmarks for youth in line with global standards,Duties, taxes on import of goods from China would be reviewed,This comes 2 days after corrupt officer was promoted to second highest pay scale,British airways can play an important role in promoting tourism in the country, says PM?s special assistant,PM?s advisor says govt to improve Pakistan?s ranking to top 50 countries"
2019-02-01,"Award of contract: PAC volte-face on BISP irregularity,Saudi crown prince due in Pakistan on Feb 17,Market watch: KSE-100 rises 313 points as investors buy bank stocks,Feb 2019: OGRA raises LPG price by Rs65 per cylinder,Malaysian company to invest $250m in telecom industry,Indian election budget helps farmers, middle class and 'mother cow',Some US metals importers resigned to higher prices as Trump's tariffs bite,Oil prices flat on US-China trade talks uncertainty,Malaysia?s company to invest $100m annually in Pakistan,Ease of doing business: Punjab framing new industrial policy,Kia Lucky Motors to start vehicle production by Sept,Fauji Fertiliser?s profit rises 43% to Rs16.4b,AIIB likely to finance $1.4b worth of projects in Pakistan,Moody?s terms mini-budget positive for export sectors,In seven months: FBR collects Rs2.07tr in taxes, misses target by Rs187b, Shehbaz retracts on FIA probe after ex-PM's opposition,Mohammad bin Salman's visit was earlier scheduled for Feb 16,Benchmark index increases 0.77% to settle at 41,112.71,11.8kg cylinder of locally produced LPG will be available at Rs65.93 in February,Edocto group chairman Kamaluddin calls on Prime Minister Khan in Islamabad,The announcement of a new national cow board is seen as a move to appease India's Hindu majority,Recent govt shutdown added to wait that has stretched to eight months without ruling,International Brent crude oil futures were down $0.09, or 0.15%, at $60.93 per barrel by 1215 GMT,Edotco plans capital injection in order to lay foundation for 5G launch,Will launch one-window operation soon to facilitate new investors,Says plant construction is in full swing, awaits power, gas and other utilities,Higher urea prices, increase in DAP margins aid earnings growth,Considering investment in Karachi Bus Rapid Transit, Rawalpindi Ring Road projects,But sees greater risk of fiscal slippage in absence of additional revenue-raising measures,Net increase in revenue receipts is just Rs69b compared to last year"
2019-02-02,"US, China all smiles on trade but doubts persist,Boost to economy: Pakistan to export live donkeys to China,Byco?s SPM imports 10m tons of POL products,Centre to cooperate with provinces,SPI increases 1.65%,Rupee strengthens against dollar,Malaysia's Edotco Group plans to invest $250m in Pakistan,Business confidence in Pakistan drops sharply: survey,SECP policy board seeks ways to protect stock investors,Textile industry gets Rs29b relief in duties, taxes,PIA losing millions as half a dozen aircraft grounded,Inflation hits highest in four and a half years,FBR increases property valuation by average 20%,China comes to Pakistan?s rescue with $2.5b loan, Beijing offers to increase imports of US agricultural, energy and manufactured goods,Pakistan ranks third in the world with a donkey population exceeding 5 million,Celebrating six years of safe continuous operations,In an effort to facilitate investors and contribute to creating a conducive environment for the business community,Going up from 238.21 points in the prior week to 242.14,Economic data shows that the positive impact of recent stabilisation measures has started to emerge gradually,Its chairman meets PM who highlights measures taken to enhance ease of doing business,New govt measures, however, may lead to accelerated economic and investment activity,Asks brokers to reach out to wider investor base by setting up branches,This is in addition to the Rs25b gas subsidy for textile, other export-focused sectors,It is losing money on rent of two grounded ATR airplanes which are on dry lease,Rises 7.2% due to increase in prices of utilities, medicines, expansionary fiscal policy,Revision had been due since July 2017; govt likely to get additional Rs5b revenue,Money to provide Islamabad breathing space till desired macroeconomic stabilisation"
2019-02-03,"PM Imran takes notice of recent hike in gas prices,KSE-100 jumps 848 points, crosses 41,000 mark,Rice millers set $5-billion export target for 2023,Food ministry to auction 15 aircraft acquired for pest control,Neelum-Jhelum: One unit of power project resumes production,New IPP policy being drafted to invite competition, says PM aide,US-China trade war: Pakistan gets chance to boost exports of food products,Gas consumers allowed to pay high bills in installments,Govt seeks $400m loan from World Bank, Premier terms it inappropriate to shift additional burden of gas prices to consumers,Rally supported by inflows from Saudi Arabia and UAE, foreign buyers, interest rate hike,PM adviser offers support, says China and Japan willing to help,Cabinet gives approval as aircraft engines, propellers have expired,The plant was shut down for inspection on Jan 5,Dr Ishrat Husain insists no concession is being provided to Chinese setting up power plants,This way country can reduce its massive trade deficit, says central bank,Govt stops Sui gas firms from cutting connections,Lender plans to bring reforms in tax administration, tax policy simultaneously"
2019-02-04,"Poor water management costs Pakistan dearly,Oil hits 2019 high near $64 on Venezuela sanctions, OPEC cut,Market watch: KSE-100 soars over 500 points as buying continues,S&P downgrades Pakistan's long-term credit rating to 'B-',As fresh listings stop at PSX, companies need favourable environment,Climate change: Country can turn challenges into opportunities,Govt should develop special technology zones,Pakistan needs to look beyond exchange rate,Next 5 years of CPEC likely to help Pakistan tackle trade deficit, WB says country suffers $12b loss annually; new dams won't address pressing water security issues,OPEC supply fell in January by the largest amount in two years,Benchmark index increases 1.22% to settle at 41,614.39,Affirms short-term sovereign rating at 'B' at the same time,In a high interest rate scenario, stock market provides vital avenue to raise capital to fuel business and job growth,Implementation of policies, however, is very slow as hurdles in the way are gigantic,Innovation economy should be built through clusters of tech-driven talent pools

,Trade problems mainly caused by narrow manufacturing base, reliance on low-value processed products,Focus is required on training the workforce to boost industrialisation"
2019-02-05,"RCom shares plunge in latest twist between battling tycoon brothers,Oil rises on tighter supply but US factory data weighs,CPEC projects: ECC agrees on speeding up work on two more SEZs,Implementation committee reviews progress on dams,After 2-year delay, Benami Act to come into force this week,Govt to conduct roadshows to attract investment from expats,Power looms industry in crisis as owners forced to sell,GIDC reduction to provide industries Rs50 billion relief,PM Imran advised caution on IMF bailout deal, RCom shares plunge in latest twist between battling tycoon brothers,Trading proceeds at lower volumes in parts of East Asia due to Lunar New Year holiday,ECC directs Ministry of Energy to prepare plan for supply of 740MW of electricity and 170 mmcfd of gas,SC-constituted committee discusses financial plans of Mohmand Dam Hydropower Project and Diamer-Bhasha Dam Project,It will empower taxmen to confiscate properties held in names of people other than owners,Campaign will start from Britain, move to European and Gulf nations,High taxes, policy issues blamed for recent closure of factories, widespread layoffs,Govt has slashed the cess rate to 0-50% for different sectors,Best option is to seek loan on govt's terms, Asad Umar tells Economic Advisory Council"
2019-02-06,"KSE-100 index ends three-day winning streak,Oil falls 1% as supply concerns fade,Qatar, Exxon Mobil to build $10 billion LNG plant in Texas,9th NFC meet: Representatives agree allocation must be in line with 18th Amendment,IMF board approves $2b for Egyptÿ,UK economy flat-lines as Brexit nears ÿ,Govt urged to use embassies and national airline to promote tourism,Country loses $1.5b in absence of online payment systems,Pakistan about to embrace location-based services,Railways to start 20 more VIP passenger trains soon,Top taxpayers to have dinner with PM Imran,Govt to hunt tax evading Pakistanis in Russia, Turkey,Punjab to lose resources if NFC maintains status quo,Govt steps up diplomatic efforts to attract remittances,Despite hurdles, Chinese firm keen to take over K-Electric, Benchmark index decreases 108.71 points to settle at 41,505.68,Trade dispute between the United States and China weighed on the sentiment,Construction to begin in first quarter of 2019, start-up date set for 2024,Formation of six sub-groups approved; forum decides to convene every six weeks,IMF Chief Christine Lagarde announced January 25 that the final details had been worked out,Britain?s economy defied forecasts from some economists that it would go into recession after the 2016 ,Industry official says it will lead to increased foreign investment and employment opportunities,ICT exports stand near $2.5b, but only $1b is documented, says SBP report,Such maps will benefit industries, help country meet goal of Digital Pakistan,Minister says Punjab lacks investment in the sector,Those on the list include large taxpaying companies and individual taxpayers,PM gives two weeks to FBR to take steps showing it is serious to curb corruption,Other provinces will gain as their population rises in sixth census,Expected rise in Pakistan?s workforce in Qatar, Saudi Arabia will lead to higher remittance inflows,K-Electric CEO fears deal?s failure will hurt investor confidence in Pakistan"
2019-02-07,"India unexpectedly cuts key rate to boost slowing economy,Oil steadies as investors weigh up odds of global supply squeeze,Market watch: KSE-100 loses 173 points amid dull trading,Foreign exchange: SBP reserves rise 0.47% to stand at $8.2b,Textile industry: Official concerned over likely increase in tax,Trade volume between Pakistan, Sri Lanka surges after FTA,Cement despatches decline 10.7% in January,Chinese envoy invited to celebrate Chinese New Yearÿ,State Life moves to ensure transparencyÿ,Rupee strengthens against dollarÿÿ,PM aide clarifies policy regarding foreign shareholding,IPPs receive Rs422b ?without generating electricity?,NFC forms six panels to sort out thorny issues,SOPs issued to restore taxpayers? confidence,Govt to pay Rs3.6 trillion on defence, debt servicing,Russia plans to invest $14b in Pakistan?s energy sector,Govt makes 3rd revision to overseas certificate terms,External auditor to scrutinise excessive gas billing,PIA business plan to be ready by March, Reduction welcome news for Modi govt which wants to lift growth ahead of polls,Earlier, oil price came under pressure following weekly data showing rise in US stocks,Benchmark index decreases 0.42% to settle at 41,332.75,Central bank states no reason for the increase of $38.2m,'Textile sector paying water bills regularly',Minister for National Food Security says both countries can work together in energy sector,Dip raises concerns for producers with huge production capacities,The celebrations kicked off with the traditional Lion Dance,State life has served its policy holders since the past 42 years with the best returns ,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,Abdul Razzak Dawood stresses need for foreign investment in manufacturing sector to steer value-added exports,Senator claims power producers had submitted manipulated figures about 
fuel consumption,Sindh objects to inclusion of finance secretary as 10th member,Minister says collection cannot increase based on policies that spark anxiety in businessmen,Centre informs provinces about grave fiscal situation that has thrown the country into a debt trap,Russian giant Gazprom and ISGS sign deal to conduct feasibility study for $10b-pipeline project,Increases up to 1.25 per cent penalty for premature encashment of Pakistan Banao Certificates

,Petroleum Division also conducting inquiry into inflated bills in winters

,PM emphasises need to turn state carrier into profit-making entity"
2019-02-08,"Economic growth rate revised downward,US House panel passes bill targeting OPEC oil supply cuts,Market watch: Bourse drops 445 points as investors offload holdings,Oil edges up, but heads for weekly loss on economic slowdown worries,Airbus hit by jet cancellations as A380 shutdown looms,Role of businesswomen highlighted,Industry expects govt to lift ban on commercial vehicles,Abl Organises Seminar On corporate structure,Tariff hike hits small industry,Rupee stable against dollar,US businessmen express interest in Pakistani furniture,Pakistan, Turkey in talks for FTA,Punjab to establish 6-8 new industrial zones,Entrepreneurship culture gaining popularity,Pakistan sees no immediate need to hike power tariff,ECC asked to decide fate of white oil pipeline,?Saudi investment highlights trust in Pakistan?s economy?,Pakistan projects foreign inflows of $5.6b in FY19, The NAC has a mandate to approve the national output numbers,It is, however, uncertain if the measure will be considered by the full chamber,Benchmark index decreases 1.08% to settle at 40,887.35,OPEC-led supply cuts, US sanctions against Venezuela lend some support,Situation paints a bleak picture for world's largest airliner as preparations to close production gather pace,In textile sector-specific exhibition Texpo 2019 organised by TDAP,Under a second supplementary mini-budget for fiscal year 2019,As part of its corporate social responsibility,Further steps are needed on the part of government to increase exports says PWMA Chairman,According to forex.pk,Call for promoting furniture trade and investment,Islamabad also engaged in gaining preferential market access to increase bilateral trade,Will provide all services under one roof to facilitate business,28-year-old woman sets up first fruit and vegetable retail brand,IMF terms hikes insufficient during video conference between Asad Umar and fund official,Petroleum Division prepares summary on the project for review in ECC meeting,Sanjrani hopeful upcoming visit of Saudi crown prince will further cement ties,Inflows held back by administrative and procedural hurdles"
2019-02-09,"IMF chief warns of high Arab public debt,PM to meet IMF chief for talks on bailout,Engro Fertilisers' profit soars 56%, amounts to Rs17.4b,PTI drags down PML-N?s economic growth figure,Estimate of foreign inflows raised to $5.63bÿ,BankIslami initiates 'OneTouch Banking'ÿ,Rupee stable against dollarÿ,Dutch business delegation to arrive in March,Gram production may exceed estimates,Large-scale CPEC projects to be completed in few months,K-Electric to raise Rs25b through Sukuk,Pakistanis having offshore accounts can invest in diaspora bonds,Russian state unit comes up with PSM revival package,Gas crisis worsens in Sindh, Balochistan, Says region has yet to recover from global financial crisis and other economic dislocations over the past decade,They are expected to meet on Sunday in Dubai for discussing issues that have held up negotiations,Increase comes on back of rise in net sales of the company ,It is for the first time in 15 years that any government has held the NAC meeting during the course of the fiscal year,EAD is actively pursuing to achieve the remaining external inflows target of $3.8 billion,The ceremony was held in Karachi,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,Will look for investment avenues, particularly in agro-business,Due to sufficient rainfall, harvest is likely to be 0.4-0.5m tons,Sukkur-Multan M-5 Motorway due to be completed by June,Funds raised will be spent on ongoing power generation, transmission and distribution projects,Decision may promote dollarisation, but will also attract dollars from sources not part of central bank's reserves,Offers loan for balancing and modernisation of the industrial complex,SSGC proposes drastic measure of providing imported gas in Sindh"
2019-02-10,"IMF assures Pakistan of support in shoring up economy,Don?t miss the boat to invest in Pakistan, says PM at 7th WGS,'Key energy, infrastructure CPEC projects almost ready',Chinese team due in Pakistan to finalise CPEC projects,NBP making Gwadar greener,Weekly review: Five-week winning streak ends as KSE-100 loses 225 points,Giant Chinese companies shaping the world?s industries,Dry port business evaporates under tax burden,Business group plans to supply LNG via tube trailers,SBP governor stresses harnessing technology to boost agriculture, Christine Lagarde meets PM Imran on sidelines of 7th World Government Summit in Dubai,Pakistan is on the upswing this is the time to come to Pakistan, says the premier,Chinese envoy emphasises people-to-people contact to strengthen bilateral relations,An official says groundbreaking of New Gwadar Airport is planned in the first quarter of the year,?Green Initiative? is a part of the bank?s CSR programme,Lack of positive triggers and economic uncertainty drag index down,Rail, pesticides, oil and smartphone are some areas where China dominates,Delay in release of refunds also cited as reason,Is teaming up with Chinese companies to introduce ?virtual pipeline? concept,Appreciates efforts of banks in promoting agricultural financing"
2019-02-11,"Metro to increase investment in Punjab,More outcomes expected from US, China trade talks,Market watch: KSE-100 falls over 500 points despite foreign buying,Oil prices slip as slow progress in trade talks counters OPEC cuts,No deal reached with IMF yet, clarifies Umar,Dream of becoming great power deters India from joining CPEC,Investors turn focus to Pakistan?s agriculture sector,Lack of maintenance reduces transport system productivity,Exports to get boost if businesses participate in global value chains,Chinese consortium devises strategy to transform PSX,IMF asks Pakistan to take decisive actions, Will open its store in Multan, the 10th wholesale and retail facility in Pakistan,Chinese vice premier to hold new round of consultations from Thursday to Friday,Benchmark index decreases 1.37% to settle at 40,326.53,US energy firms increase oil rigs for second time in three weeks,Meeting aimed to build common ground between Pakistan and IMF's top leadership, says finance minister,It can pave way for regional connectivity, improvement in regional trade,Economic zone should be set up in Multan to attract investment in dairy, food production,Govts should implement life cycle management policies to enhance asset quality,Linking with value chains will bring huge benefits, but will require export-oriented policies,Market will be transformed by increasing retail and professional investors,Insists on gas price, power tariff hike"
2019-02-12,"Sacked PIA employees summoned by Senate body,UK posts slowest growth in six years as Brexit looms,Market watch: KSE-100 returns to green zone, gains 270 points,Oil up nearly 2% on OPEC cuts, US sanctions,China says consumption growth likely to slow further this year,State Life vows to plug financial leakagesÿ,LNG re-gasification slows downÿ,Drip irrigation has massive potential to save waterÿ,SPI increases 0.29%ÿ,Remittances rise 12% to $12.8b in seven months,Rupee stable against dollarÿ,Textile exporters seek swift release of funds,Locally produced car sales dip 4% in January 2019,Trade deficit shrinks $2.1b but exports fail to pick up pace,Pakistan eyes $12b deals with Saudi Arabia,Moody?s assigns negative outlook to Pakistani banks,Pakistan?s debt repayment to determine IMF loan size,Talks underway to bring PayPal, AliPay to Pakistan,ECC to consider Rs15b aid for PIACL, Airline?s loss has hit Rs414b, CEO Malik informs committee,Businesses are on edge with Britain just weeks away from its departure from EU,Benchmark index increases 0.67% to settle at 40,596.28,Saudi Arabia to reduce crude production by half a million bpd more,Sales in the world?s biggest auto market shrank for the first time since the 1990s,The board of directors of the corporation has resolved to plug financial leakages and pass on maximum benefits,This may further reduce the RLNG availability to only 400 mmcfd,Nestl Pakistan has fostered partnerships with the government and farmers to promote drip irrigation,During the week, average prices of 12 items rose in a selected basket of goods,Inflows from western countries remain major contributors,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,Say payments under incentive packages will accelerate industrial, export growth,Decline comes on back of multiple price hikes, ban on non-filers of tax returns,Adviser says exports are not gaining momentum due to lag effect of rupee depreciation,Crown prince's security, Saudi media team arrive ahead of his arrival,Slowing economy, high exposure to sovereign debt drive the outlook,IMF has appointed Ernesto Ramirez Rigo as new mission chief to Pakistan,Govt not impeding PayPal's entry into the Pakistani market, says Asad Umar,Committee will also examine options to boost Gwadar port, city projects"
2019-02-13,"Market watch: KSE-100 sheds 52 points on institutional selling,Oil rises after Saudi output pledge, declining US inventories,EFU Life wins CSR Award 2019,Usmani appointed NBP presidentÿ,Proposals for Pakistan-Turkey economic framework reviewed,Rupee weakens against dollarÿ,Farmers demand better margin, export markets,LNG consumers likely to bear extra $40m cost,Unity Foods to acquire edible oil refinery for Rs850m,New tobacco policy to be prepared by May,Gold prices hit all-time high at Rs68,150 per tola,Govt green-lights second bailout package for PIA,Pakistan defers tax relief for Gwadar Free Zone, Benchmark index decreases 0.13% to settle at 40,544.11,OPEC cut output by almost 800,000 bpd in January to 30.81m bpd ,The award recognises the company?s efforts towards social development and sustainability initiatives in the country,Usmani has been appointed for a term of three years with immediate effect,Stresses that banks of both nations should be encouraged to establish branches in each other?s country,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,Farming community says policies are made in favour of only some crops,Idle capacity at second LNG terminal estimated at 53% for 2019,Refinery has production capacity of 500 tons per day,Senator Parveen urges FBR to increase tax collection from tobacco sector,Increase comes due to uptick in global market following US govt crisis,ECC also allows an FWO subsidiary to build Machike-Tarujabba Oil Pipeline project,If approved, it will have adverse implications for other economic zones of the country"
2019-02-14,"Foreign exchange: SBP reserves rise 0.16% to stand at $8.21b,Market watch: Lack of triggers drags KSE-100 lower in thin volumes,US and China seek deal to prevent trade-war escalation,Airbus to scrap production of A380 superjumbo,Emirates celebrates 20 years of operations in Lahore and Islamabad,Nepal invites businessmen to summitÿ,Rupee weakens against dollarÿ,Garment-makers deny violation of labour laws,EU brings industry together to tackle dollar dominance,Private sector eager to utilise idle capacity at LNG terminals,Court to decide NBP ex-president?s fate on Feb 20,Malaysian envoy for improving two-way trade,Govt asked to devise strategy for upgrading SMEs,CCE orders import of LNG to eliminate $40m loss,SSGC posts profit of just Rs43.16 million,State Bank to discontinue issuance of Rs40,000 bonds from Feb 15,Government to stop sending tax defaulter cases to FIA,Court to decide NBP ex-president?s fate on Feb 20, Central bank states no reason for the increase of $13m

,Benchmark index decreases 37.13 points to settle at 40,506.98
,The two economic superpowers have already imposed duties on more than $360 billion in two-way trade,Airbus said in a statement that the last A380 would be delivered in 2021,'Pakistan is a major market for Emirates and we take great pride in the role we play in providing global...,Lack of direct flights between the two countries and the long route through India was hindering expansion of trade,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,Stresses that Pakistan's garment industry fully met the core labour standard,Industrial group will work on promoting euro and fighting monopoly of US dollar,Insists it will import gas at competitive rates, feed power and industrial units,Accountability court once again summons two SECP officials in Ishaq Dar case,Expects signing of many deals during upcoming visit of Malaysian PM,FCCI chief calls for introducing cheap technology for value addition,Directs Petroleum Division to utilise full capacity of second LNG terminal,Core business in trouble; earnings aided by other income, lower finance cost,Move aimed at plugging loophole that has long been used to legalise black money,Wants to avoid harassment of taxpayers by withdrawing FIA's powers,Once again summons two SECP officials in Ishaq Dar case"
2019-02-15,"PM Imran to meet top taxpayers next week,Market watch: Stocks continue to lose ground over economic concerns,Rupee strengthens against dollar,PM aide seeks to expand cooperation with World Bank,Pakistan decides to export 500,000 tons of wheat,Senate panel displeased with cut in IT budget,Lotte Chemical?s earnings jump about 11 times,'Energy situation of Pakistan has improved',Experts satisfied with Tarbela extension project,Pak Suzuki launches limited edition Mehran VX,Pakistan, Malaysia expected to finalise LNG supply deal,Pakistan meets all FATF requirements,Cabinet orders gas, electricity for industrial zones, Formal dinner changed to meeting as part of PM?s austerity drive,Benchmark index decreases 20.31 points to settle at 40,486.67,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,Govt committed to taking necessary measures to improve ease of doing business, says Abdul Razak Dawood,Govt expected to earn Rs16.4b from the shipments,Senator says IT sector?s development is imperative if Pakistan is to compete globally,Company makes Rs4.4b profit in 2018 due to higher revenues,Khusro Bakhtiar says CPEC is above political interests and affiliations,Turbine efficiency was found to be more than the level envisaged during model testing,Car available in white, silky silver and graphite,Agreement may be inked during Malaysian premier?s visit to Pakistan next month,Anti-money laundering watchdog set to review progress in Paris,Fawad Chaudhry says Saudi crown prince?s visit is highly significant"
2019-02-16,"Rupee stable against dollarÿÿ,SPI increases 0.53%ÿ,SECP defers applicability of IFRS 9ÿ,Govt refuses to register 42 NGOs,Pakistan will not overreact to MFN move: Razak,Shell buys German battery maker Sonnen,Aligning interests key to trade talks,Russia trying to streamline banking links with Pakistan,CAA to send new aviation policy to cabinet next month,Saudi refinery to reduce oil import bill by $1.2b: petroleum minister,Gas crisis deepens as LNG terminal shut for maintenance,Pakistan?s debt and liabilities soar to Rs33tr, Cumulatively, the rupee has lost 31.8% of its value in the last 13 month,During the week, average prices of 12 items rose in a selected basket of goods,The SECP has deferred the applicability of IFRS 9 for reporting period/year ending on or after June 30, 2019,Action taken on objections raised by premier intelligence agency,Islamabad has three options in response to India?s MFN move, says PM?s adviser,Move comes on back of growing demand for cleaner energy,Observers expect Sino-US meetings to bring benefits bilaterally, globally,Starting work on an offshore gas pipeline that will address Pakistan?s energy woes,Updated policy is expected to provide level playing field to domestic airlines,Ghulam Sarwar says due to improved security situation many countries are keen to invest,Punjab gets additional supply; CNG stations to stay closed for 12 hours on Saturday,Of this, external debt and liabilities stood at $99.1b by end of Dec 2018"
2019-02-17,"Post Pulwama attack: India raises import duty to 200% on Pakistani goods,Automakers brace for US govt report on import tariffs,Stock market remains under pressure as KSE-100 drops 1%,?Ease of doing business more important than growth?,High taxes, rupee?s fall bring down cellphone demand,Pressure may ease as petroleum product imports fall,Railways minister promises railcar service between Hyderabad-Karachi,Withholding tax collection drops 9% in first half, Development comes after India withdrew its Most favoured Nation status for Pakistan,Tariffs on millions of imported cars and parts will add thousands of dollars to cost of vehicles,Lack of positive triggers, uncertainty over IMF bailout keep investors sidelined,Pakistan is at 136th place in the international index of ease of doing business,Mobile phone imports dip 7% to $424m in Jul-Jan FY19,Energy imports drop 16% to $1.02b in Jan 2019 due to downturn in global crude prices,Sheikh Rasheed says tenders have been floated; service will start when coaches are available,Its share in total income tax also shrinks due to court decision, legislative changes"
